,ts,x,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
47,1.625047521447e+18,-4.271415786564135,0.8582793577611417,-56.0,-76.9649253244181,-56.0,-40.308438357056815,-62.245951332274956,-48.744576200678786
48,1.6250475217803333e+18,-4.264767551810511,0.9640002135987078,-55.55489532554688,-73.0,-56.0,-41.0,-62.245951332274956,-50.495330536387506
49,1.6250475221136668e+18,-4.264767551810511,0.9640002135987078,-55.22645033799739,-75.37137961520601,-56.6404683399582,-40.308438357056815,-59.220202460114145,-51.49533053638751
50,1.625047522447e+18,-4.264164712737111,1.1315989079947602,-55.62741366448001,-67.37137961520601,-56.97252667057757,-41.0,-58.88587392869641,-55.374551190804226
51,1.6250475227803333e+18,-4.270223237333454,1.3155038417084683,-55.92358370267847,-74.37137961520602,-57.0,-39.48304604390742,-56.596373105057566,-50.495330536387506
52,1.6250475231136668e+18,-4.270223237333454,1.3155038417084683,-56.0,-75.49533053638751,-65.86810635193201,-42.0,-56.596373105057566,-48.744576200678786
53,1.625047523447e+18,-4.276780455811912,1.4825120555539424,-57.7172323784761,-68.66740676439991,-63.33493988674042,-39.937700904720835,-57.909028771302,-50.495330536387506
54,1.6250475237803333e+18,-4.289276528083498,1.694545397084913,-53.657124080464826,-66.47128104620114,-55.0,-40.691483506315286,-60.59637310505756,-47.99536190012037
55,1.6250475241136668e+18,-4.289276528083498,1.694545397084913,-63.0,-69.37137961520602,-58.44913180851933,-46.0,-57.37137961520602,-46.97593900912253
56,1.625047524447e+18,-4.2981977511016645,1.8448663562718477,-65.0,-68.4953305363875,-60.0,-48.0,-60.816989475978865,-57.0
57,1.6250475247803333e+18,-4.300362562399432,1.8734758637649165,,-70.0,,-41.97252667057757,-57.744576200678786,-73.0
58,1.6250475251136668e+18,-4.300362562399432,1.8734758637649165,-52.36194447912907,-68.81698947597886,-58.38161710346992,-41.044070458214904,-63.495330536387506,-51.3597127112901
59,1.625047525447e+18,-4.306785113561097,1.9542572476235427,-53.75575955874767,-65.24595133227496,-59.0,-45.0,-64.2330578134214,-51.928768195539526
60,1.6250475257803333e+18,-4.323103488088221,2.1433816246915143,-57.0,-67.59637310505755,-56.7824141733188,-44.19387168378337,-63.22020246011414,-50.0
61,1.6250475261136668e+18,-4.323103488088221,2.1433816246915143,-54.78668768018987,-65.80015920221906,-57.525920234786355,-42.92358370267848,-59.59637310505756,-51.74457620067879
62,1.625047526447e+18,-4.340698168863746,2.3382120207526977,-53.52724374661271,-60.816989475978865,-60.24595133227496,-49.96016958846595,-64.12156105006895,-50.27763028560037
63,1.6250475267803333e+18,-4.362589533754367,2.5315697407137936,-56.47128104620114,-62.7172323784761,-67.57007447761686,-54.0,-63.59637310505755,-49.03707201955286
64,1.6250475271136668e+18,-4.362589533754367,2.5315697407137936,-54.323866000057315,-56.816989475978865,-58.44026063356477,-49.86459584399115,-63.67834375675553,-50.220202460114145
65,1.625047527447e+18,-4.386625782842026,2.728832525516412,-50.374551190804226,-57.245951332274956,-59.87714014732245,-52.640468339958204,-62.220202460114145,-50.37137961520601
66,1.6250475277803333e+18,-4.418016921473861,2.9313637322005115,-64.0,-57.03707201955286,-62.0,-50.145554181940135,-59.37137961520602,-53.47128104620114
67,1.6250475281136668e+18,-4.418016921473861,2.9313637322005115,-57.0,-56.47128104620114,-56.0,-54.0,-60.79791593749726,-53.24595133227496
68,1.625047528447e+18,-4.4508187466941544,3.12923949663842,-53.88587392869641,-61.491902664549926,-63.0,-47.0,-63.03719193609302,-55.95139308728295
69,1.6250475287803333e+18,-4.4508187466941544,3.12923949663842,,-64.88587392869641,-63.53437656662458,-55.88587392869641,-78.37137961520601,-64.0
70,1.6250475291136668e+18,-4.4854153904789,3.336741961173515,-53.19431228575324,-61.88587392869641,-58.0,-51.2234685427292,-59.988588034998365,-64.03707201955287
71,1.625047529447e+18,-4.508991878631214,3.4700088418643853,-56.0,-59.81698947597886,-71.93770090472083,-55.0,-60.67834375675553,-64.88587392869641
72,1.6250475297803333e+18,-4.508991878631214,3.4700088418643853,-53.75575955874767,-60.495330536387506,-63.6427989476056,-53.17667146632202,-67.55489532554688,-61.74457620067879
73,1.6250475301136668e+18,-4.518637483967971,3.5292386108714795,-50.32386600005731,-60.37137961520601,-60.0,-55.0,-60.999404650640194,-59.902557701520244
74,1.625047530447e+18,-4.518876114323722,3.568801918365358,-59.0,-58.88587392869641,-57.0,-57.87714014732245,-64.59637310505757,-58.22020246011414
75,1.6250475307803333e+18,-4.518876114323722,3.568801918365358,-58.0,-61.88587392869641,-65.0,-60.0,-58.744576200678786,-63.37137961520601
76,1.6250475311136668e+18,-4.511978892386172,3.5780039727033413,-54.73644122877971,-62.47128104620114,-59.48194240977343,-56.93770090472083,-58.744576200678786,-60.37137961520601
77,1.625047531447e+18,-4.511978892386172,3.5780039727033413,-54.43838779610789,-61.797915937497265,-57.044070458214904,-63.0,-56.97593900912253,-62.840757063844485
78,1.6250475317803333e+18,-4.508257330397779,3.571201221655641,-55.47128104620114,-58.5221501797204,-56.69825398875229,-59.0,-59.41733484865122,-61.970611845243965
79,1.6250475321136668e+18,-4.508257330397779,3.571201221655641,-55.67834375675553,-59.47128104620114,-66.37137961520602,-57.85289814967107,-61.74457620067879,-60.37137961520601
80,1.625047532447e+18,-4.497284592121786,3.576779013558532,-54.0,-57.495330536387506,-58.726791359316934,-66.0,-59.55489532554687,-62.797915937497265
81,1.6250475327803333e+18,-4.497284592121786,3.576779013558532,-54.0,-57.495330536387506,-65.0,-60.18119762316828,-59.03707201955286,-62.90255770152024
82,1.6250475331136668e+18,-4.482810022660467,3.581648716711765,-50.361944479129065,-58.495330536387506,-61.46490104539005,-64.0,-59.49533053638751,-61.94200867351529
83,1.625047533447e+18,-4.482810022660467,3.581648716711765,-48.57097796191239,-57.59637310505756,-65.0,-61.0,-58.22020246011414,-60.79791593749726
84,1.6250475337803333e+18,-4.470584201682637,3.5664213375327822,-54.0,-58.495330536387506,-62.01578371986946,-66.25509021561422,-59.37137961520602,-61.94200867351529
85,1.6250475341136668e+18,-4.470584201682637,3.5664213375327822,-51.84427923485483,-58.37137961520601,-76.0,-60.84427923485484,-59.81698947597886,-61.92449996433946
86,1.625047534447e+18,-4.456524279379925,3.5539338279878945,-48.0,-57.495330536387506,-60.22645033799739,-63.594107869092575,-57.37137961520602,-63.816989475978865
87,1.6250475347803333e+18,-4.456524279379925,3.5539338279878945,-51.575425239949254,-54.74457620067879,-70.0,-61.0,-57.37137961520602,-60.495330536387506
88,1.6250475351136668e+18,-4.450693128572061,3.5401184333668057,-48.0,-57.59637310505756,-61.43025578968134,-60.0,-57.67834375675554,-61.74457620067879
89,1.625047535447e+18,-4.434690070996729,3.5287262547498193,-50.37137961520601,-57.54555797142076,-66.0,-64.63336204372918,-57.37137961520602,-61.54555797142077
90,1.6250475357803333e+18,-4.434690070996729,3.5287262547498193,-48.93770090472083,-57.495330536387506,-60.42971350721564,-59.0,-57.59637310505756,-60.37137961520601
91,1.6250475361136668e+18,-4.344601208072232,3.5280550831071498,-57.0,-57.59637310505756,-62.20100985474724,-63.37383874772138,-57.495330536387506,-59.59637310505756
92,1.625047536447e+18,-4.160584356614094,3.538525725632443,-48.44026063356477,-57.875090735559425,-60.42971350721564,-56.01533385499082,-57.220202460114145,-59.67834375675554
93,1.6250475367803333e+18,-4.160584356614094,3.538525725632443,-56.0,-59.797915937497265,-67.0,-55.83931857139004,-56.49533053638751,-60.59637310505756
94,1.6250475371136668e+18,-3.9875333080028126,3.556115070190562,-48.04407045821491,-57.0,-67.0,-67.0,-56.49533053638751,-58.33935211111872
95,1.625047537447e+18,-3.9875333080028126,3.556115070190562,-47.59822698081954,-63.495330536387506,-66.0,-59.0,-62.797915937497265,-79.0
96,1.6250475377803333e+18,-3.8054997592754574,3.585570174797956,-50.0,-64.95596681443936,-55.75575955874768,-60.0,-63.67834375675553,-61.87509073555943
97,1.6250475381136668e+18,-3.6129129657307852,3.6191594866044516,-56.0,-63.03707201955285,-58.05448044746933,-52.87714014732245,-68.55489532554688,-68.59637310505755
98,1.625047538447e+18,-3.6129129657307852,3.6191594866044516,-49.27292858682257,-60.67834375675553,-54.003928587307506,-49.84427923485483,-68.35478188531079,-58.889702722113206
99,1.6250475387803333e+18,-3.467091347402331,3.636059324395735,-51.0,-61.2691969836984,-59.280013442826856,-56.0,-65.59637310505755,-68.24595133227496
100,1.6250475391136668e+18,-3.424798657756927,3.6385466458178617,-53.0,-59.74457620067879,-56.0,-52.75847914203474,-64.88587392869641,-63.24595133227496
101,1.625047539447e+18,-3.424798657756927,3.6385466458178617,-60.0,-59.797915937497265,-45.0,-50.32341439608775,-65.0,-52.00342230169663
102,1.6250475397803333e+18,-3.399916742017322,3.6387581814364998,-47.964925324418104,-62.90255770152024,-54.0,-62.0,-64.81698947597886,-55.999404650640194
103,1.6250475401136668e+18,-3.3365169005353845,3.6507772381405954,-50.90946980524958,-57.988588034998365,-48.38161710346992,-50.21867240706356,-68.17181821853896,-64.37137961520602
104,1.625047540447e+18,-3.3365169005353845,3.6507772381405954,-52.01955904882197,-60.155822369585906,-47.00342245631166,-60.0,-65.85129512973873,-55.9869233976687
105,1.6250475407803333e+18,-3.3231176516945697,3.6545946609691633,,-64.7445762006788,-46.596373105057566,-51.31842684662231,-63.816989475978865,-65.88587392869641
106,1.6250475411136668e+18,-3.314166228676521,3.6529539979974857,-49.581378924766724,-57.95596681443936,-47.26015976909579,-50.89319193553365,-64.22020246011415,-56.840757063844485
107,1.625047541447e+18,-3.314166228676521,3.6529539979974857,-48.84945207960874,-62.744576200678786,-43.0,-63.0,-65.88587392869641,-53.97593900912252
108,1.6250475417803333e+18,-3.3219261694212148,3.6469214558153307,-47.0,-63.79791593749726,,-55.28196658093697,-63.816989475978865,-61.74457620067879
109,1.6250475421136668e+18,-3.319195744022896,3.642359568459885,-48.24595133227496,-63.875090735559425,-51.12339991261589,-48.0,-64.81698947597886,-63.22020246011414
110,1.625047542447e+18,-3.319195744022896,3.642359568459885,-45.0,-61.840757063844485,-46.37455119080422,-51.583325621626756,-66.03707201955287,-52.924499964339454
111,1.6250475427803333e+18,-3.33137548459926,3.6352296027836517,-48.0,-64.67834375675554,-53.0,-48.0,-64.03707201955287,-55.97593900912252
112,1.6250475431136668e+18,-3.338950830138386,3.6270646415911414,-50.84945207960874,-62.840757063844485,-45.24402496388474,-50.61046040301454,-64.22020246011415,-71.0
113,1.625047543447e+18,-3.338950830138386,3.6270646415911414,-51.31287254336841,-61.840757063844485,-51.0,,-65.81698947597887,-52.90255770152024
114,1.6250475437803333e+18,-3.340782168779729,3.6163120342508157,-51.28827052218001,-61.797915937497265,-44.91130309351074,,-65.22020246011414,-52.924499964339454
115,1.6250475441136668e+18,-3.354395492684194,3.603829806210287,-48.0,-61.840757063844485,-46.442165116063975,,-66.23251604925635,-52.924499964339454
116,1.625047544447e+18,-3.354395492684194,3.603829806210287,-52.49580232134625,-60.95596681443936,-43.0,-54.61046040301454,-66.75575955874767,-53.875090735559425
117,1.6250475447803333e+18,-3.3794244949771723,3.5783313635148715,-49.0,,-46.81936865666779,-51.0,-65.81698947597887,-52.875090735559425
118,1.6250475451136668e+18,-3.3794244949771723,3.5783313635148715,-50.9855568224597,-60.90255770152024,-43.0,-49.0,-67.47128104620114,-56.596373105057566
119,1.625047545447e+18,-3.411539140403764,3.3809737137050164,-49.47128104620114,-59.979460032720986,-45.508353065754,-49.0,-66.94256209240228,-54.9755347397684
120,1.6250475457803333e+18,-3.4350341383764715,3.1805219923242474,-47.4561681687102,-59.97593900912253,-45.0,-50.0,-67.47128104620114,-53.744576200678786
121,1.6250475461136668e+18,-3.4350341383764715,3.1805219923242474,-50.593978650593456,-58.98298391329042,-46.81936865666779,-52.87638421550868,-67.0,-52.90255770152024
122,1.625047546447e+18,-3.4423200136729037,2.983479936693436,-49.0,-59.902557701520244,-49.432884431097854,-50.68427091407203,-64.81698947597886,-53.84075706384448
123,1.6250475467803333e+18,-3.4397464876798787,2.7793575945612754,-51.0,-63.88587392869641,-48.55489532554688,-57.245951332274956,-62.81698947597886,-54.74457620067879
124,1.6250475471136668e+18,-3.4397464876798787,2.7793575945612754,-50.5513647965822,-59.81761186159298,-48.75575955874767,-52.01578371986946,-65.67470599807783,-58.38297835270659
125,1.625047547447e+18,-3.4264091732449353,2.583620999612233,-48.92358370267847,-63.657124080464826,-48.0,-56.92358370267847,-64.88587392869641,-54.88587392869641
126,1.6250475477803333e+18,-3.420381547222811,2.4270586645026127,-51.0,-63.0,-57.68427091407204,-48.59749499284852,-63.0,-52.37137961520602
127,1.6250475481136668e+18,-3.420381547222811,2.4270586645026127,-48.0,-66.81698947597886,-53.92358370267847,-47.0,-61.88587392869641,-57.03707201955286
128,1.625047548447e+18,-3.4004708169597015,2.232877885699443,-62.0,-61.06064776427711,-50.0,-47.0,-58.702863404675284,-58.25687814994226
129,1.6250475487803333e+18,-3.3971032319360495,2.1980187010798096,-53.89111007049554,-60.79791593749726,-56.31385462024352,-49.964925324418104,-57.47128104620114,-54.03707201955286
130,1.6250475491136668e+18,-3.3971032319360495,2.1980187010798096,-48.86459584399114,-57.220202460114145,-49.139417351789504,-51.436441449760366,-56.596373105057566,-53.67834375675553
131,1.625047549447e+18,-3.3970294567823354,2.1688254180388595,-48.0,-62.03707201955286,-56.0,-48.0,-61.245951332274956,-60.220202460114145
132,1.6250475497803333e+18,-3.3848876245237234,1.9805458784467638,-50.6982539887523,-61.47128104620114,-54.0,-49.105332443591145,-59.0,-55.0
133,1.6250475501136668e+18,-3.3848876245237234,1.9805458784467638,-54.13594507829853,-61.0,-52.698253988752285,-52.0,-54.88587392869641,-59.81698947597886
134,1.625047550447e+18,-3.375044257828386,1.7817646604466297,-50.0379413694543,-62.245951332274956,-53.97937872679974,-50.048574518345916,-59.55489532554687,-60.55489532554688
135,1.6250475507803333e+18,-3.3680966821567706,1.612495147734568,-50.0,-61.37137961520602,-55.57007447761685,-50.62741366448001,-57.55489532554687,-66.22020246011415
136,1.6250475511136668e+18,-3.3680966821567706,1.612495147734568,-46.0,-61.77174785739283,-55.03707201955286,-53.0,-59.24060728445933,-58.58815468949067
137,1.625047551447e+18,-3.356629989369507,1.4686253892581553,-50.945618552268,-62.760686583461656,-58.0,-49.44849240152669,-62.47128104620114,-56.797915937497265
