,ts,x,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
71,1.6280015837896666e+18,-1.552662505824445,5.351982027762488,-67.11505791726935,-63.73644122877971,-56.037072019552866,-53.13689020602005,-48.58040936583766,-77.0
72,1.6280015841229998e+18,-1.430607578788384,5.337418548247588,-62.0,-69.67834375675554,-58.55489532554688,-55.16284946429144,-51.47128104620114,-69.88587392869641
73,1.628001584456333e+18,-1.3015447771073088,5.321116949226552,-71.87714014732245,-62.495330536387506,-51.0,-63.0,-50.79791593749726,-62.90255770152024
74,1.6280015847896666e+18,-1.3015447771073088,5.321116949226552,-66.0,-65.88587392869641,-49.220202460114145,-64.92358370267848,-51.88587392869641,-78.4953305363875
75,1.6280015851229998e+18,-1.1696991658342342,5.305782019358622,-67.72679135931693,-63.03707201955285,-51.596373105057566,-72.0,-55.37137961520601,-62.0
76,1.628001585456333e+18,-1.0390333572394324,5.292272374481615,-76.0,-62.81698947597886,-45.744576200678786,-64.11505791726935,-51.0,
77,1.6280015857896666e+18,-1.0390333572394324,5.292272374481615,-66.3059960150324,-61.22020246011415,-45.0,-68.0,-56.47128104620114,-64.67432600028066
78,1.6280015861229998e+18,-0.9808416236311561,5.284807828978983,-74.78293766150712,-59.050225861934386,-56.22020246011415,-64.24402496388474,-61.245951332274956,-67.47128104620114
79,1.628001586456333e+18,-0.9586039698790353,5.283378931983785,-72.0,,,-66.0,-63.47128104620114,
80,1.6280015867896666e+18,-0.9586039698790353,5.283378931983785,-83.0,-57.73644122877972,-60.03707201955286,-66.34159627453575,-56.88587392869641,-65.31863017139374
81,1.6280015871229998e+18,-0.9311691340297571,5.279806530422167,-71.0,-57.0,-55.55489532554688,-71.0,-56.49533053638751,-59.220202460114145
82,1.628001587456333e+18,-0.9307248171376513,5.262563567104486,-69.0,-55.92358370267847,-54.81698947597886,-65.37137961520601,-55.88587392869641,
83,1.6280015877896666e+18,-0.9307248171376513,5.262563567104486,-70.01578371986946,-57.0,-55.55489532554688,-58.94200867351528,-63.816989475978865,-62.44913180851934
84,1.6280015881229998e+18,-0.9285042047484052,5.242826401421971,-68.31798275933005,-64.37137961520602,-54.88587392869641,-70.74457620067878,-57.744576200678786,-59.89972508487515
85,1.628001588456333e+18,-0.9202173354561606,5.222415095275813,-66.0,-59.74457620067879,-55.47128104620114,-65.59637310505755,-57.245951332274956,
86,1.6280015887896666e+18,-0.9202173354561606,5.222415095275813,-69.55489532554688,-63.816989475978865,-57.797915937497265,-64.87509073555943,-54.49533053638751,-61.22020246011415
87,1.6280015891229998e+18,-0.9218071352604963,5.208577084025294,-71.0,-62.55489532554687,-55.121845856569365,-68.03707201955285,-55.599584609530055,-60.495330536387506
88,1.628001589456333e+18,-0.9383922200832308,5.187411799683624,-67.88587392869641,-59.797915937497265,-54.55489532554687,-69.2079516422622,,-58.63444364500596
89,1.6280015897896666e+18,-0.9383922200832308,5.187411799683624,-66.72679135931693,-62.36725393351584,-54.88587392869641,-68.5028333109472,-56.00256658935063,-61.74457620067879
90,1.6280015901229998e+18,-0.9550041891471239,5.1673040017004315,-65.22763095213668,-58.967086218813385,-57.90255770152024,,-64.47128104620114,-59.74457620067879
91,1.628001590456333e+18,-0.9674728155606112,5.154630707430687,-62.92358370267848,-59.92449996433946,-56.99658802831298,,-63.47128104620114,
92,1.6280015907896666e+18,-0.9674728155606112,5.154630707430687,-67.0,-57.94200867351528,-57.005959181846634,,-63.0,-60.67834375675553
93,1.6280015911229998e+18,-0.976225730577864,5.148951191329638,-63.0,-60.924499964339454,-57.00756060782485,-69.53152433579926,-63.47128104620114,-60.67834375675553
94,1.628001591456333e+18,-0.9833951475565147,5.144930545076343,-62.0,-57.96708621881339,-57.00164327581188,-66.69278181643543,-62.245951332274956,
95,1.6280015917896666e+18,-0.9833951475565147,5.144930545076343,-64.6427989476056,-57.95596681443936,-57.00483595171124,-80.0,-63.47128104620114,-57.840757063844485
