,ts,x,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
55,1.6279993518376668e+18,-5.049992788528337,0.6458950954542824,-46.74457620067879,-69.89805316609852,-64.67834375675554,-54.3683374148787,-62.16284946429144,-41.74457620067878
56,1.627999352171e+18,-4.934035675569493,0.6305209774000383,-48.004835951711236,-65.49533053638751,-69.7445762006788,-51.0,-63.03707201955285,-47.95596681443936
57,1.6279993525043333e+18,-4.934035675569493,0.6305209774000383,-58.24595133227496,-61.156321331074764,-67.81698947597886,-55.145554181940135,-67.22020246011414,-54.0
58,1.6279993528376668e+18,-4.797787445561979,0.6235171714846196,-43.90255770152024,-70.0,-59.875090735559425,-54.0,-65.22020246011414,-40.94200867351528
59,1.627999353171e+18,-4.653078224694323,0.6172432322102219,-52.37137961520602,-63.875090735559425,-63.67834375675553,-51.16241031110505,-70.67834375675554,-58.03707201955285
60,1.6279993535043333e+18,-4.653078224694323,0.6172432322102219,-46.49533053638751,-60.27921603424349,-64.94200867351529,-58.0,-60.37137961520601,-43.875090735559425
61,1.6279993538376668e+18,-4.577043459988277,0.6144062797576035,-44.92449996433946,-75.0,-59.875090735559425,-48.226450337997385,-63.37137961520601,-56.22020246011415
62,1.627999354171e+18,-4.577043459988277,0.6144062797576035,-46.92449996433946,-63.98858803499835,-53.90255770152024,-49.565838910581384,-56.982983913290425,-45.67834375675553
63,1.6279993545043333e+18,-4.546580026895583,0.6168835937271855,-47.67834375675554,-63.744576200678786,-57.38341040021208,-53.0,-68.55489532554688,
64,1.6279993548376668e+18,-4.524920689404065,0.6168011078177046,-48.46615379238911,-63.0537790404796,-55.67834375675553,-49.88587392869641,-68.47128104620114,-45.51377523218477
65,1.627999355171e+18,-4.524920689404065,0.6168011078177046,-41.00943351166285,-73.0,-60.495330536387506,-46.245951332274956,-58.967086218813385,-46.37137961520602
66,1.6279993555043333e+18,-4.5086306881323255,0.6172113746653265,-47.37137961520602,-60.95596681443936,-54.902557701520244,-43.22020246011414,-68.47128104620114,
67,1.6279993558376668e+18,-4.495433928708355,0.6205277841357557,-47.37137961520602,-60.68958437300583,-57.797915937497265,-46.16241031110505,-56.967086218813385,-46.14360026078023
68,1.627999356171e+18,-4.4826148921984945,0.6341189216985963,-47.33677326505182,-74.0,-59.58391899905099,-44.89072221437068,-64.22020246011415,-46.49533053638751
69,1.6279993565043333e+18,-4.4826148921984945,0.6341189216985963,,,,,-57.97593900912253,-44.67834375675554
70,1.6279993568376668e+18,-4.472819088970887,0.6509979328092759,-44.95596681443936,-61.34637178176057,-63.03707201955285,-46.0,-68.81698947597886,-43.744576200678786
71,1.627999357171e+18,-4.472819088970887,0.6509979328092759,-55.0,-66.84075706384449,-58.37137961520601,-43.361944479129065,-54.440260633564776,-42.8578899711698
72,1.6279993575043333e+18,-4.472713762964682,0.6603312842859069,-54.0,-65.79791593749727,-55.86459584399115,-41.0,-64.0,
73,1.6279993578376668e+18,-4.4815017008639755,0.6781138089458922,-53.308438357056815,-66.67834375675554,-63.0,-46.0,-56.596373105057566,-42.875090735559425
74,1.627999358171e+18,-4.4815017008639755,0.6781138089458922,-53.94136369863598,-72.03707201955285,-65.0,-42.0,-56.67834375675554,-43.3311391718427
75,1.6279993585043333e+18,-4.491043769330747,0.7014154733298582,-52.48304604390742,-69.22763095213669,,-39.57007447761685,-53.59637310505755,
76,1.6279993588376668e+18,-4.499621013932528,0.7365370874674823,-53.0,-65.79791593749727,-56.02467948506365,-40.98528966022042,-53.67834375675553,-43.84075706384448
77,1.627999359171e+18,-4.499621013932528,0.7365370874674823,-52.0,-69.55489532554688,-56.49533053638751,-44.0,-53.67834375675553,-43.84075706384448
78,1.6279993595043333e+18,-4.490029105022418,0.8511800448716407,-53.0,-71.24595133227496,-56.49533053638751,-42.0,-53.67834375675553,
79,1.6279993598376668e+18,-4.47728421963726,0.9774933516404422,-54.52724374661272,-73.0,-57.37137961520602,-39.57007447761685,-52.797915937497265,-43.84075706384448
80,1.627999360171e+18,-4.47728421963726,0.9774933516404422,-52.90255770152024,-68.22020246011414,-59.220202460114145,-42.54503138622434,-68.81698947597886,-46.402764119513485
81,1.6279993605043333e+18,-4.460358964286824,1.11083338991926,-57.81698947597886,-64.7445762006788,-55.67834375675553,-39.16241031110504,-64.49533053638751,
82,1.6279993608376668e+18,-4.443274936199077,1.252142637214143,-53.03707201955285,-68.81698947597886,-55.24595133227496,-43.0,-53.744576200678786,-44.875090735559425
83,1.627999361171e+18,-4.443274936199077,1.252142637214143,-45.98858803499836,-63.59637310505755,-49.88587392869641,-39.0,-62.52724374661271,-44.368175360756155
84,1.6279993615043333e+18,-4.425461944945868,1.3927337468875085,,-70.37137961520601,-53.47128104620114,-44.0,-76.0,
