,ts,x,heading,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
0,1.627997452227e+18,-3.8861774196344805,4.1961192396396045,2.516518753774981,-54.0,-56.49533053638751,-54.0,-49.55489532554687,-64.0,-64.37137961520602
1,1.6279974528936668e+18,-3.887349461304877,4.193794410620111,2.5169299304001784,-52.0,-63.0,-56.797915937497265,-47.0,-80.0,-62.0
2,1.627997453227e+18,-3.8851751564932697,4.192613329947485,2.520736045352434,-52.0,-52.0,-67.0,-55.0,-69.59637310505757,-63.37137961520601
3,1.6279974535603333e+18,-3.8853551171119873,4.1949916895476305,2.519143960753526,-52.0,-53.0,-57.54901959985743,-49.42971350721563,,
4,1.6279974538936668e+18,-3.8853551171119873,4.1949916895476305,2.519143960753526,-52.47128104620114,-56.886688520888065,-67.0,-59.0,-69.37818792907599,-63.68427091407203
5,1.627997454227e+18,-3.885801156164882,4.195863737342018,2.5200522478655976,-49.245951332274956,-56.345825775640094,-58.79791593749726,-49.24402496388474,-59.967086218813385,-63.07582009532061
6,1.6279974545603333e+18,-3.8840405617135003,4.195372914341517,2.520807950416766,-48.47128104620114,-53.0,-57.73644122877972,-59.0,,
7,1.6279974548936668e+18,-3.8840405617135003,4.195372914341517,2.520807950416766,-52.245951332274956,-54.9855568224597,-57.744576200678786,-49.789750513987734,-65.56562367673286,-66.94835774811348
8,1.627997455227e+18,-3.8833566734569787,4.193544745336078,2.5212335320815824,-50.59637310505756,-54.0,-61.88587392869641,-59.0,-65.37137961520601,-57.0
9,1.6279974555603333e+18,-3.881943549665146,4.1956471415071475,2.5237630544394416,-50.67834375675553,-60.361944479129065,-54.67834375675554,-53.31385462024352,-73.88587392869641,
10,1.6279974558936668e+18,-3.881943549665146,4.1956471415071475,2.5237630544394416,-48.24595133227496,-55.0,-70.0,-51.0,-66.67834375675554,-65.27165107381458
11,1.627997456227e+18,-3.8834727116502434,4.198517660145686,2.524060413208383,-44.92449996433946,-64.69825398875228,-52.81698947597886,-52.19553477880691,-68.24595133227496,-63.33493988674042
12,1.6279974565603333e+18,-3.8832933472940936,4.202021189118862,2.5240061843321007,-53.03707201955285,,-50.0,,-72.37137961520601,
13,1.6279974568936668e+18,-3.8832933472940936,4.202021189118862,2.5240061843321007,-54.0,-62.0,-52.67834375675554,-50.0,-62.88587392869641,-58.13594507829854
14,1.627997457227e+18,-3.883813501426716,4.196859187087481,2.524167969077035,-48.495330536387506,-62.17667146632201,-53.24595133227496,-44.0,-65.22020246011414,-56.0
15,1.6279974575603333e+18,-3.8815743421892352,4.191523079104429,2.52560229652705,-54.59637310505756,-52.0,,-50.45616816871019,-70.47128104620114,-63.77271720661391
16,1.6279974578936668e+18,-3.8815743421892352,4.191523079104429,2.52560229652705,-56.245951332274956,-56.575425239949254,-53.24595133227496,-49.519123625853524,-65.37137961520601,-63.0
17,1.627997458227e+18,-3.8831249554862706,4.191590100389888,2.5236676974555152,-48.744576200678786,-55.442165116063975,-50.84075706384448,-52.633362043729186,-68.03707201955285,-63.71165930878364
18,1.6279974585603333e+18,-3.8831249554862706,4.191590100389888,2.5236676974555152,-48.72679135931694,-52.0,-49.840757063844485,-43.0,-66.87509073555943,
19,1.6279974588936668e+18,-3.8850280887774105,4.189313022616497,2.520982069804521,-56.0,-52.0,-50.84075706384448,-47.0,-67.22020246011414,-63.88587392869641
20,1.627997459227e+18,-3.8845631070915916,4.18653869493093,2.520161737545766,-52.81698947597886,-53.0,-51.840757063844485,-53.79591482999945,-67.49533053638751,-63.69825398875229
21,1.6279974595603333e+18,-3.8845631070915916,4.18653869493093,2.520161737545766,-51.37137961520602,-55.312872543368414,-47.90255770152024,-51.46405268421363,-67.0,
22,1.6279974598936668e+18,-3.8836190717973524,4.187549407250414,2.522243092864785,-51.49533053638751,-55.442165116063975,-50.875090735559425,-48.0,-70.24595133227496,-60.75575955874768
23,1.627997460227e+18,-3.88108732085829,4.191300995502088,2.5243488921708934,-51.49533053638751,-55.155391906864665,-52.03707201955286,-50.67834375675553,-66.55489532554688,-61.16872120408981
24,1.6279974605603333e+18,-3.88108732085829,4.191300995502088,2.5243488921708934,,-53.0,-52.744576200678786,-48.0,-68.22020246011414,
25,1.6279974608936668e+18,-3.882026516396228,4.190112764943522,2.521168127732293,-51.22020246011415,-52.0,-52.797915937497265,-50.744576200678786,-67.24595133227496,-62.0
26,1.627997461227e+18,-3.8813567373877795,4.189043798365315,2.521386409352852,-51.37137961520602,-55.442165116063975,-52.840757063844485,-50.67834375675553,-67.0,-61.226450337997385
27,1.6279974615603333e+18,-3.8813567373877795,4.189043798365315,2.521386409352852,-51.22020246011415,-55.442165116063975,-47.94200867351528,-49.797915937497265,,
28,1.6279974618936668e+18,-3.8821204660195323,4.190591386986438,2.5218853500520684,-51.22020246011415,-52.0,-52.797915937497265,-46.902557701520244,-68.98500830658557,-60.98528966022042
29,1.627997462227e+18,-3.882301806451007,4.186851219132866,2.5210742562550688,-50.220202460114145,-52.0,-51.87509073555943,-50.744576200678786,-67.0,-61.4082307691309
30,1.6279974625603333e+18,-3.882301806451007,4.186851219132866,2.5210742562550688,-51.816989475978865,-52.0,-51.840757063844485,-50.67834375675553,,
31,1.6279974628936668e+18,-3.881786606913949,4.189841794340699,2.520591304742631,-51.816989475978865,-56.003422456311654,-47.924499964339454,-52.130881657557886,-68.28598018878662,-59.0
32,1.627997463227e+18,-3.8815035743801145,4.186665377849035,2.522587197637653,-52.220202460114145,-55.442165116063975,-50.84075706384448,-51.0,-68.55489532554688,-60.816989475978865
33,1.6279974635603333e+18,-3.8815035743801145,4.186665377849035,2.522587197637653,-52.03707201955286,-55.312872543368414,-51.797915937497265,-54.31287254336841,,
34,1.6279974638936668e+18,-3.882657593342958,4.188084750419166,2.5215487981817337,-52.03707201955286,-52.0,-51.74457620067879,-51.0,-67.28827052218,-60.24595133227496
35,1.627997464227e+18,-3.8816742696570463,4.189222347017363,2.5238767725520472,-52.03707201955286,-52.0,-47.924499964339454,-59.0,-67.03707201955285,-59.0
36,1.6279974645603333e+18,-3.8816742696570463,4.189222347017363,2.5238767725520472,-51.816989475978865,-53.24709365562411,-51.797915937497265,-55.312872543368414,,
37,1.6279974648936668e+18,-3.88191538184728,4.186046944735712,2.522750158326044,-51.816989475978865,-58.0,-52.744576200678786,-52.0,-67.28827052218,-60.640696270315445
38,1.627997465227e+18,-3.883943376094068,4.187873561749064,2.5200540226975203,-52.37137961520602,,-53.06709773026257,-54.547681372558976,-67.03707201955285,-61.642798947605606
