1628001559.736207,forward,0.15
1628001559.928274,stop,0.15
1628001573.767627,forward,0.15
1628001576.582888,stop,0.15
1628001577.28664,forward,0.15
1628001580.157967,stop,0.15
1628001581.017575,right,0.15
1628001581.190783,stop,0.15
1628001582.782943,forward,0.15
1628001585.797216,stop,0.15
1628001586.570678,right,0.15
1628001587.151752,stop,0.15
1628001588.438441,right,0.15
1628001588.902545,stop,0.15
1628001591.946231,left,0.15
1628001592.11821,stop,0.15
1628001593.873567,forward,0.15
1628001597.785734,stop,0.15
1628001598.585998,right,0.15
1628001598.845119,stop,0.15
1628001600.17731,right,0.15
1628001600.425368,stop,0.15
1628001601.786079,right,0.15
1628001601.864047,stop,0.15
1628001602.850631,forward,0.15
1628001605.041285,stop,0.15
1628001606.494144,right,0.15
1628001607.496655,stop,0.15
1628001608.04911,forward,0.15
1628001609.104566,stop,0.15
1628001610.060984,reverse,0.15
1628001611.732444,stop,0.15
1628001612.957258,left,0.15
1628001614.017226,stop,0.15
1628001616.965179,forward,0.15
1628001618.363903,stop,0.15
1628001619.324156,forward,0.15
1628001620.060261,stop,0.15
1628001621.372641,forward,0.15
1628001622.332112,stop,0.15
1628001622.476931,right,0.15
1628001623.100661,stop,0.15
1628001623.685166,forward,0.15
1628001624.628446,stop,0.15
1628001625.508973,reverse,0.15
1628001626.436031,stop,0.15
1628001626.765017,left,0.15
1628001626.956875,stop,0.15
1628001627.131647,left,0.15
1628001627.283761,stop,0.15
1628001627.532678,left,0.15
1628001627.657071,stop,0.15
1628001627.821055,forward,0.15
1628001629.028834,stop,0.15
1628001629.69324,left,0.15
1628001629.943426,stop,0.15
1628001630.233126,left,0.15
1628001630.373913,stop,0.15
1628001630.709593,forward,0.15
1628001631.214553,stop,0.15
1628001631.732365,left,0.15
1628001632.944457,stop,0.15
1628001633.175974,forward,0.15
1628001634.187528,stop,0.15
1628001634.519863,left,0.15
1628001635.683754,stop,0.15
1628001635.768501,forward,0.15
1628001637.155095,stop,0.15
1628001637.416035,right,0.15
1628001637.51284,stop,0.15
1628001637.879377,forward,0.15
1628001639.488341,stop,0.15
1628001640.449385,forward,0.15
1628001642.280302,stop,0.15
1628001642.759671,forward,0.15
1628001642.847973,stop,0.15
1628001643.240074,right,0.15
1628001644.350734,stop,0.15
1628001644.448159,forward,0.15
1628001645.382951,stop,0.15
1628001645.759941,right,0.15
1628001647.103235,stop,0.15
1628001647.744205,reverse,0.15
1628001648.912989,stop,0.15
1628001649.295814,right,0.15
1628001649.393194,stop,0.15
1628001649.703062,forward,0.15
1628001651.015143,stop,0.15
1628001651.71188,left,0.15
1628001651.808523,stop,0.15
1628001652.275718,forward,0.15
1628001655.927466,stop,0.15
1628001656.147335,right,0.15
1628001656.223879,stop,0.15
1628001656.610436,forward,0.15
1628001658.170786,stop,0.15
1628001658.531068,left,0.15
1628001659.72307,stop,0.15
1628001659.96372,forward,0.15
1628001660.47567,stop,0.15
1628001660.675457,left,0.15
1628001662.018807,stop,0.15
1628001662.530322,right,0.15
1628001662.603322,stop,0.15
1628001663.714335,right,0.15
1628001663.779101,stop,0.15
1628001664.107103,forward,0.15
1628001672.098071,stop,0.15
1628001672.570757,right,0.15
1628001673.754593,stop,0.15
1628001674.098913,right,0.15
1628001674.21889,stop,0.15
1628001674.506473,forward,0.15
1628001675.027747,stop,0.15
1628001675.435951,right,0.15
1628001676.491797,stop,0.15
1628001676.667174,forward,0.15
1628001678.618481,stop,0.15
1628001678.800069,right,0.15
1628001678.894074,stop,0.15
1628001679.182452,right,0.15
1628001679.270749,stop,0.15
1628001679.482568,forward,0.15
1628001683.602,stop,0.15
1628001683.862397,right,0.15
1628001683.941785,stop,0.15
1628001684.238122,forward,0.15
1628001686.205712,stop,0.15
1628001686.456142,left,0.15
1628001687.701703,stop,0.15
1628001687.942254,forward,0.15
1628001688.381319,stop,0.15
1628001688.58126,left,0.15
1628001689.556869,stop,0.15
1628001689.803509,forward,0.15
1628001691.259664,stop,0.15
1628001691.562525,left,0.15
1628001691.599355,stop,0.15
1628001691.899924,left,0.15
1628001692.07344,stop,0.15
1628001692.743939,forward,0.15
1628001696.629632,stop,0.15
1628001697.182036,forward,0.15
1628001697.261239,stop,0.15
1628001697.686226,reverse,0.15
1628001700.405842,stop,0.15
1628001700.568822,right,0.15
1628001700.681649,stop,0.15
1628001701.068892,forward,0.15
1628001702.125095,stop,0.15
1628001702.344918,right,0.15
1628001702.404342,stop,0.15
1628001702.681275,forward,0.15
1628001704.241299,stop,0.15
1628001704.825678,reverse,0.15
1628001708.123844,stop,0.15
1628001708.185542,left,0.15
1628001708.945407,stop,0.15
1628001708.97659,forward,0.15
1628001710.825082,stop,0.15
1628001710.863966,right,0.15
