,ts,x,heading,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
71,1.6280015837896666e+18,-1.4798648052367942,6.114697822018732,5.339304600614418,-67.11505791726935,-63.73644122877971,-56.037072019552866,-53.13689020602005,-48.58040936583766,-77.0
72,1.6280015841229998e+18,-1.3351984619125492,6.120919994916936,5.324313824745287,-62.0,-69.67834375675554,-58.55489532554688,-55.16284946429144,-51.47128104620114,-69.88587392869641
73,1.628001584456333e+18,-1.1945302685104477,6.126667812745877,5.3111819694231075,-71.87714014732245,-62.495330536387506,-51.0,-63.0,-50.79791593749726,-62.90255770152024
74,1.6280015847896666e+18,-1.1945302685104477,6.126667812745877,5.3111819694231075,-66.0,-65.88587392869641,-49.220202460114145,-64.92358370267848,-51.88587392869641,-78.4953305363875
75,1.6280015851229998e+18,-1.0555023992256107,6.126412183734415,5.296733189473533,-67.72679135931693,-63.03707201955285,-51.596373105057566,-72.0,-55.37137961520601,-62.0
76,1.628001585456333e+18,-0.9182425828773378,6.128252617323178,5.280613789318592,-76.0,-62.81698947597886,-45.744576200678786,-64.11505791726935,-51.0,
77,1.6280015857896666e+18,-0.9182425828773378,6.128252617323178,5.280613789318592,-66.3059960150324,-61.22020246011415,-45.0,-68.0,-56.47128104620114,-64.67432600028066
78,1.6280015861229998e+18,-0.8866877779487053,6.148352876718242,5.276406702386545,-74.78293766150712,-59.050225861934386,-56.22020246011415,-64.24402496388474,-61.245951332274956,-67.47128104620114
79,1.628001586456333e+18,-0.9031467062860183,6.113715123813565,5.278956199704355,-72.0,,,-66.0,-63.47128104620114,
80,1.6280015867896666e+18,-0.9031467062860183,6.113715123813565,5.278956199704355,-83.0,-57.73644122877972,-60.03707201955286,-66.34159627453575,-56.88587392869641,-65.31863017139374
81,1.6280015871229998e+18,-0.8853426334658471,5.556341157862719,5.277175689960497,-71.0,-57.0,-55.55489532554688,-71.0,-56.49533053638751,-59.220202460114145
82,1.628001587456333e+18,-0.899371337823328,5.506503493092591,5.26066737178723,-69.0,-55.92358370267847,-54.81698947597886,-65.37137961520601,-55.88587392869641,
83,1.6280015877896666e+18,-0.899371337823328,5.506503493092591,5.26066737178723,-70.01578371986946,-57.0,-55.55489532554688,-58.94200867351528,-63.816989475978865,-62.44913180851934
84,1.6280015881229998e+18,-0.9058492252582303,5.443548902447147,5.240132684527529,-68.31798275933005,-64.37137961520602,-54.88587392869641,-70.74457620067878,-57.744576200678786,-59.89972508487515
