,ts,x,y,rssi_3,rssi_4,rssi_5,rssi_8,rssi_10,rssi_11
0,1.6280069673123333e+18,-2.5882323266669283,4.824974388752994,,,,,-60.0,
1,1.628006967979e+18,-2.59608765731987,4.82757224231531,-60.75575955874768,-70.0,-49.81698947597886,-51.0,-62.03707201955286,-64.13182526097137
2,1.6280069683123333e+18,-2.59608765731987,4.82757224231531,-64.87714014732245,-70.84945207960874,-49.81698947597886,-56.192541904922074,,
3,1.6280069686456668e+18,-2.5990714892438898,4.832741816722657,-67.0,-71.16241031110505,-47.840757063844485,-56.37137961520602,-55.87714014732246,-65.67834375675554
4,1.628006968979e+18,-2.5990714892438898,4.832741816722657,-62.0,-71.22763095213669,-49.81698947597886,-50.0,-57.127672045843056,-63.04667964096758
5,1.6280069693123333e+18,-2.5918550215267633,4.8348410178702785,-57.0,-68.0,-48.308438357056815,,,
6,1.6280069696456668e+18,-2.580882734532595,4.833880445257406,-62.22645033799738,-68.0,-48.0,-53.54555797142076,-64.0,-62.59637310505756
7,1.628006969979e+18,-2.580882734532595,4.833880445257406,-59.20680347858712,-69.59637310505757,-49.36194447912907,-48.0,-57.43025578968133,-64.51377523218476
8,1.6280069703123333e+18,-2.561990655622358,4.831285795584346,-59.0,-69.7445762006788,-48.92358370267847,-53.442165116063975,-59.0,-66.88587392869641
9,1.6280069706456668e+18,-2.523413932364425,4.829447413754238,-58.0,-71.65042921123607,-54.81698947597886,-51.99666022302261,-56.226450337997385,-66.55489532554688
10,1.628006970979e+18,-2.523413932364425,4.829447413754238,-62.937700904720835,-64.62023962696213,-53.003422301696624,-51.44026063356477,-60.98528966022042,-64.67834375675554
11,1.6280069713123333e+18,-2.4861900552570386,4.820462978031961,-62.0,,-52.98298391329042,,,-67.7445762006788
12,1.6280069716456668e+18,-2.4403400723917286,4.824855401867219,-63.48304604390742,-64.0,-50.37137961520601,-51.96016958846595,-58.57097796191239,-65.94952108888775
13,1.628006971979e+18,-2.4403400723917286,4.824855401867219,-62.0,-87.0,-49.819368656667805,-55.39722871117527,-50.94200867351528,-66.79791593749727
14,1.6280069723123333e+18,-2.392977482499036,4.839026981712315,-62.0,-85.0,-49.03707201955286,-50.0,,-73.0
15,1.6280069726456668e+18,-2.354793320945776,4.854972661598976,-63.0,-66.22007994287289,-47.0,-64.0,-52.66321761628444,-65.51533889229631
16,1.628006972979e+18,-2.354793320945776,4.854972661598976,-61.60663086288034,-70.97593900912253,-48.816989475978865,-56.28196658093697,-50.95596681443936,-77.0
17,1.6280069733123333e+18,-2.245006438200417,4.883803472045255,-63.0,-66.98801139648877,-48.55489532554688,-55.42997763405458,-50.95596681443936,-62.67531385505685
18,1.6280069736456668e+18,-2.1004627195776737,4.912875022043243,-59.46405268421363,-68.97593900912253,-48.925636787385464,-55.94200867351528,-51.40553010908731,-65.29302069045559
19,1.628006973979e+18,-2.1004627195776737,4.912875022043243,-58.0,-69.97593900912253,-54.37137961520602,-57.66195227680925,-54.55489532554687,-68.81698947597886
20,1.6280069743123333e+18,-1.9534101968686515,4.940708778457735,-56.797915937497265,-73.03707201955285,-48.816989475978865,,,
21,1.6280069746456668e+18,-1.8122664967472766,4.966707336903695,-62.58431909085297,-68.55489532554688,-48.55489532554688,-54.979400086720375,-51.3322668438542,-66.11255084254887
22,1.628006974979e+18,-1.8122664967472766,4.966707336903695,-54.74457620067879,-58.744576200678786,-52.47128104620114,-59.17667146632201,-55.440769254243286,-61.245951332274956
23,1.6280069753123333e+18,-1.6718854633998625,4.992113199918114,-63.626018735822676,-67.88587392869641,-46.37137961520602,,,
24,1.6280069756456668e+18,-1.5341739876160365,5.017165406065784,-61.92449996433946,-60.95596681443936,-47.220202460114145,-58.68427091407203,-55.0,-64.11601958172494
25,1.628006975979e+18,-1.5341739876160365,5.017165406065784,-64.33493988674041,-66.78293766150712,-49.04667964096758,-67.34392755560003,-51.51533889229631,-56.22020246011415
26,1.6280069763123333e+18,-1.3959374102577262,5.041594184191623,-63.54429542088837,-69.0,-51.55489532554688,,,
27,1.6280069766456668e+18,-1.3959374102577262,5.041594184191623,-65.0,-61.41801149416955,-54.55489532554687,-62.814650449758304,-55.10226102149839,-60.14286131076071
28,1.628006976979e+18,-1.2569792364433983,5.068891123147849,-78.0,-66.52724374661273,-53.88587392869641,-60.882689105267396,-54.08412542943876,-60.88587392869641
29,1.6280069773123333e+18,-1.1178448758126855,5.09975383316486,,-53.0,-49.03707201955286,,,-59.47128104620114
30,1.6280069776456668e+18,-1.1178448758126855,5.09975383316486,-65.9450596319513,-60.676925053321284,-49.245951332274956,-65.47128104620114,-51.44026063356477,-64.47128104620114
31,1.628006977979e+18,-0.9888396128289232,5.131290150964297,-63.37818792907599,-59.0,-58.0,-58.744576200678786,-52.03431126521882,-63.24595133227496
32,1.6280069783123333e+18,-0.9058459048666834,5.157707870949229,-70.163785811139,-56.11255084254886,-50.875090735559425,-64.0,,-65.47128104620114
33,1.6280069786456668e+18,-0.9058459048666834,5.157707870949229,-61.0,-62.0,-48.74331760273472,-68.0,-43.0,-66.79791593749727
34,1.628006978979e+18,-0.8906924828222847,5.1699417905269796,-68.0,-59.702646136698796,-61.245951332274956,-67.7445762006788,-59.98528966022042,-65.55489532554688
35,1.6280069793123333e+18,-0.8840813346518731,5.169551669311738,-63.0,-54.0,-54.55489532554687,,,-71.49533053638751
36,1.6280069796456668e+18,-0.8840813346518731,5.169551669311738,-68.22763095213668,-48.0,-53.88587392869641,-67.84604408019229,-57.4957994653252,-70.0
37,1.628006979979e+18,-0.8981243037877474,5.148269006870693,-66.42971350721564,-51.74457620067879,-61.47128104620114,-65.03707201955285,-61.14555418194013,-70.81698947597887
38,1.6280069803123333e+18,-0.9012757633356843,5.124336841650962,-70.0,-53.280013442826856,-55.47128104620114,,-56.0,-65.88587392869641
39,1.6280069806456668e+18,-0.9012757633356843,5.124336841650962,-66.86459584399114,-47.0,-59.245951332274956,-64.07518927625893,-57.0,-67.37137961520601
40,1.628006980979e+18,-0.9073126669755043,5.101531030992216,-70.0,-52.94200867351528,-59.88587392869641,-61.34792108990359,-62.60403201601635,-67.22020246011414
41,1.6280069813123333e+18,-0.9073126669755043,5.101531030992216,-67.02467948506366,-51.797915937497265,-58.55489532554688,,,-67.49533053638751
42,1.6280069816456668e+18,-0.9122077687365764,5.079426824169745,-72.0,-52.744576200678786,-57.88587392869641,-63.20100985474724,-62.0,-67.81698947597886
43,1.628006981979e+18,-0.9122077687365764,5.079426824169745,-69.36194447912908,-52.94200867351528,-57.55489532554687,-61.77427799251401,-58.08210209107895,-67.55489532554688
44,1.6280069823123333e+18,-0.9192569125583747,5.0622296418684565,-73.0,-51.94200867351529,-57.88587392869641,,,
45,1.6280069826456668e+18,-0.9192569125583747,5.0622296418684565,-70.22763095213668,-52.95596681443936,-57.55489532554687,-67.0,-61.49533053638751,-62.380772395358115
